agent,training_fraction,training_samples,threshold,utility_success_rate_intent,utility_tn_intent,utility_fp_intent,attack_blocking_rate_intent,attack_tp_intent,attack_fn_intent
banking,0.1,20,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,0.2,41,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,0.3,61,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,0.4,82,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,0.5,103,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,0.6,123,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,0.7,144,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,0.8,164,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,0.9,185,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
banking,1.0,206,1.0,93.1868131868132,1272,93,73.04029304029304,997,368
slack,0.1,29,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,0.2,58,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,0.3,87,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,0.4,117,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,0.5,146,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,0.6,175,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,0.7,205,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,0.8,234,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,0.9,263,1.0,88.57994041708044,892,115,71.7974180734856,723,284
slack,1.0,293,1.0,88.57994041708044,892,115,71.7974180734856,723,284
travel,0.1,51,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,0.2,103,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,0.3,155,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,0.4,206,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,0.5,258,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,0.6,310,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,0.7,361,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,0.8,413,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,0.9,465,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
travel,1.0,517,1.0,92.24164366758663,1003,84,91.99632014719411,1000,87
workspace,0.1,43,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,0.2,87,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,0.3,131,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,0.4,175,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,0.5,219,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,0.6,263,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,0.7,307,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,0.8,351,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,0.9,395,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
workspace,1.0,439,1.0,88.4608328747019,1607,210,87.17666483214089,1584,233
